Rank,Release Group,Worldwide,Domestic,%,Foreign,%
345,Battalion,"$8,292,235",-,-,"$8,292,235",100%
346,The Office,"$8,290,521","$63,675",0.8%,"$8,226,846",99.2%
347,Return of the Cuckoo,"$8,198,787",-,-,"$8,198,787",100%
348,Holy Mess,"$8,172,351",-,-,"$8,172,351",100%
349,Memories,"$8,139,310",-,-,"$8,139,310",100%
350,Cities in Love,"$8,120,000",-,-,"$8,120,000",100%
351,The Crossing 2,"$8,070,921",-,-,"$8,070,921",100%
352,My King,"$8,003,331","$54,114",0.7%,"$7,949,217",99.3%
353,Gurasuhoppâ,"$7,971,675",-,-,"$7,971,675",100%
354,Insanity,"$7,901,512",-,-,"$7,901,512",100%
355,The Treacherous,"$7,899,033",-,-,"$7,899,033",100%
356,The Ark of Mr Chow,"$7,894,075","$54,075",0.7%,"$7,840,000",99.3%
357,The Roommates Party,"$7,862,364",-,-,"$7,862,364",100%
358,Salut d'Amour,"$7,858,183","$22,480",0.3%,"$7,835,703",99.7%
359,Ali Baba and the Seven Dwarfs,"$7,816,034",-,-,"$7,816,034",100%
360,Carrossel: O Filme,"$7,802,639",-,-,"$7,802,639",100%
361,8 novykh svidaniy,"$7,752,894",-,-,"$7,752,894",100%
362,Un + une,"$7,732,614",-,-,"$7,732,614",100%
363,Mia madre,"$7,723,656","$303,002",3.9%,"$7,420,654",96.1%
364,Lolo,"$7,663,798","$24,134",0.3%,"$7,639,664",99.7%
365,Paper Planes,"$7,646,673",-,-,"$7,646,673",100%
366,Youth Never Returns,"$7,636,318",-,-,"$7,636,318",100%
367,Klovn Forever,"$7,585,569","$5,700",<0.1%,"$7,579,869",99.9%
368,Miss You Already,"$7,573,997","$1,162,653",15.4%,"$6,411,344",84.6%
369,The Advocate: A Missing Body,"$7,550,177","$50,162",0.7%,"$7,500,015",99.3%
370,A Bigger Splash,"$7,545,758","$2,024,099",26.8%,"$5,521,659",73.2%
371,Big Game,"$7,455,398","$24,752",0.3%,"$7,430,646",99.7%
372,I'll See You in My Dreams,"$7,452,512","$7,449,681",100%,"$2,831",<0.1%
373,Prizrak,"$7,442,911",-,-,"$7,442,911",100%
374,Courted,"$7,227,045",-,-,"$7,227,045",100%
375,Grandma,"$7,205,073","$6,980,524",96.9%,"$224,549",3.1%
376,Kamen Rider Drive: Surprise Future,"$7,118,376",-,-,"$7,118,376",100%
377,GG Bond: Ultimate Battle,"$7,080,000",-,-,"$7,080,000",100%
378,Fünf Freunde 4,"$6,904,651",-,-,"$6,904,651",100%
379,Talvar,"$6,879,098","$342,370",5%,"$6,536,728",95%
380,My Love Story!!,"$6,830,188",-,-,"$6,830,188",100%
381,Bruce Lee - The Fighter,"$6,806,042",-,-,"$6,806,042",100%
382,Baahubali: The Beginning,"$6,787,855","$6,738,000",99.3%,"$49,855",0.7%
383,Happy Little Submarine: Magic Box of Time 2015 Re-release,"$6,787,300",-,-,"$6,787,300",100%
384,Telling Tales,"$6,740,968",-,-,"$6,740,968",100%
385,Wild Card,"$6,738,764",-,-,"$6,738,764",100%
386,Chronicle of a Blood Merchant,"$6,702,181",-,-,"$6,702,181",100%
387,Son of Saul,"$6,659,121","$1,777,043",26.7%,"$4,882,078",73.3%
388,April Fools,"$6,652,777",-,-,"$6,652,777",100%
389,Detective Gui,"$6,600,000",-,-,"$6,600,000",100%
390,Kakekomi,"$6,528,543",-,-,"$6,528,543",100%
391,The Measure of a Man,"$6,518,931","$112,391",1.7%,"$6,406,540",98.3%
392,The Lobster,"$6,504,366","$376,871",5.8%,"$6,127,495",94.2%
393,The Cobbler,"$6,501,058",-,-,"$6,501,058",100%
394,Il professor Cenerentolo,"$6,462,232",-,-,"$6,462,232",100%
395,Delibal,"$6,457,515",-,-,"$6,457,515",100%
396,S: The Last Policeman: Recovery of Our Future,"$6,425,190",-,-,"$6,425,190",100%
397,Wonderful Nightmare,"$6,416,760",-,-,"$6,416,760",100%
398,The Admiral,"$6,398,252",-,-,"$6,398,252",100%
399,A Journey Through Time with Antony,"$6,389,648","$127,381",2%,"$6,262,267",98%
400,Kis Kisko Pyaar Karoon,"$6,355,432",-,-,"$6,355,432",100%
401,An Inspector Calls,"$6,331,372",-,-,"$6,331,372",100%
402,Persona Non Grata,"$6,325,922",-,-,"$6,325,922",100%
403,The Last Women Standing,"$6,313,827","$163,406",2.6%,"$6,150,421",97.4%
404,Absolutely Anything,"$6,303,792","$20,169",0.3%,"$6,283,623",99.7%
405,God Willing,"$6,246,660",-,-,"$6,246,660",100%
406,Family For Rent,"$6,243,133",-,-,"$6,243,133",100%
407,The Deal,"$6,217,271",-,-,"$6,217,271",100%
408,One Wild Moment,"$6,045,343",-,-,"$6,045,343",100%
409,She's Funny That Way,"$6,034,851","$111,996",1.9%,"$5,922,855",98.1%
410,Learning to Drive,"$5,967,516","$3,447,633",57.8%,"$2,519,883",42.2%
411,Balala the Fairies: Princess Camellia,"$5,950,000",-,-,"$5,950,000",100%
412,Testament of Youth,"$5,874,883","$1,822,250",31%,"$4,052,633",69%
413,Poison Berry in My Brain,"$5,697,583",-,-,"$5,697,583",100%
414,Anomalisa,"$5,659,286","$3,759,286",66.4%,"$1,900,000",33.6%
415,A Warrior's Tail,"$5,655,766",-,-,"$5,655,766",100%
416,The Right Mistake,"$5,650,000",-,-,"$5,650,000",100%
417,F.C. De Kampioenen 2: Jubilee general,"$5,635,272",-,-,"$5,635,272",100%
418,What a Beautiful Surprise,"$5,626,528",-,-,"$5,626,528",100%
419,Ah Boys to Men 3: Frogmen,"$5,607,373",-,-,"$5,607,373",100%
420,Fathers & Daughters,"$5,587,709",-,-,"$5,587,709",100%
421,Hate Story 3,"$5,571,064",-,-,"$5,571,064",100%
422,Knock Knock,"$5,567,103","$36,336",0.7%,"$5,530,767",99.3%
423,The Piper,"$5,546,500",-,-,"$5,546,500",100%
424,Last Cab to Darwin,"$5,543,036","$34,193",0.6%,"$5,508,843",99.4%
425,Tale of Tales,"$5,497,104","$118,925",2.2%,"$5,378,179",97.8%
426,125 Years Memory,"$5,453,160",-,-,"$5,453,160",100%
427,L'étudiante et Monsieur Henri,"$5,411,932",$761,<0.1%,"$5,411,171",100%
428,Ask Sana Benzer,"$5,398,127",-,-,"$5,398,127",100%
429,Truth,"$5,383,097","$2,541,854",47.2%,"$2,841,243",52.8%
430,Reunion,"$5,352,683",-,-,"$5,352,683",100%
431,Mustang,"$5,274,664","$845,464",16%,"$4,429,200",84%
432,True Story,"$5,261,595","$4,719,695",89.7%,"$541,900",10.3%
433,Two Thumbs Up,"$5,222,413",-,-,"$5,222,413",100%
434,Suburra,"$5,217,330",-,-,"$5,217,330",100%
435,Mountains May Depart,"$5,210,160","$82,913",1.6%,"$5,127,247",98.4%
436,Louis & Luca - The Big Cheese Race,"$5,204,792",-,-,"$5,204,792",100%
437,S.O.S.: Women to the Sea 2,"$5,169,793",-,-,"$5,169,793",100%
438,MI-5,"$5,161,464",-,-,"$5,161,464",100%
439,Love Without Distance,"$5,100,000",-,-,"$5,100,000",100%
440,Selam: Bahara Yolculuk,"$5,085,947",-,-,"$5,085,947",100%
441,Mr. X,"$5,061,387","$44,995",0.9%,"$5,016,392",99.1%
442,Abzurdah,"$5,032,788",-,-,"$5,032,788",100%
443,Worlds Apart,"$5,011,560","$60,298",1.2%,"$4,951,262",98.8%
444,Ju-on: The Final Curse,"$5,006,867",-,-,"$5,006,867",100%
445,High Speed! Free! Starting Summer,"$4,997,409",-,-,"$4,997,409",100%
446,Bad Guys Always Die,"$4,944,513",-,-,"$4,944,513",100%
447,Bon Bini Holland,"$4,920,623",-,-,"$4,920,623",100%
448,Back To The Future Day,"$4,850,000","$1,650,000",34%,"$3,200,000",66%
449,90 Minutes in Heaven,"$4,842,699","$4,842,699",100%,-,-
450,Felix Manalo,"$4,822,493",-,-,"$4,822,493",100%
451,Lapland Odyssey 2,"$4,791,063",-,-,"$4,791,063",100%
452,A Royal Night Out,"$4,779,170","$228,136",4.8%,"$4,551,034",95.2%
453,Men & Chicken,"$4,765,472","$30,207",0.6%,"$4,735,265",99.4%
454,Masha e Orso: Amici per sempre,"$4,738,018",-,-,"$4,738,018",100%
455,Sweet Bean,"$4,720,010","$124,800",2.6%,"$4,595,210",97.4%
456,Safety First,"$4,717,558",-,-,"$4,717,558",100%
457,The Winner,"$4,672,881",-,-,"$4,672,881",100%
458,Top Cat Begins,"$4,668,442",-,-,"$4,668,442",100%
459,Heneral Luna,"$4,625,639","$206,040",4.5%,"$4,419,599",95.5%
460,Anniversary,"$4,522,911",-,-,"$4,522,911",100%
461,Italiano medio,"$4,518,908",-,-,"$4,518,908",100%
462,The Dawns Here Are Quiet...,"$4,495,190",-,-,"$4,495,190",100%
463,Demonic,"$4,476,578",-,-,"$4,476,578",100%
464,Colombia magia salvaje,"$4,471,217",-,-,"$4,471,217",100%
465,Entre amis,"$4,469,267",-,-,"$4,469,267",100%
466,Forever Love,"$4,428,450",-,-,"$4,428,450",100%
467,Go Lala Go 2 2015 Re-release,"$4,423,291",-,-,"$4,423,291",100%
468,Belli di papà,"$4,405,964",-,-,"$4,405,964",100%
469,Blinky Bill the Movie,"$4,344,536",-,-,"$4,344,536",100%
470,Standing Tall,"$4,323,120","$26,144",0.6%,"$4,296,976",99.4%
471,Disco Polo,"$4,301,648",-,-,"$4,301,648",100%
472,Go! Princess Pretty Cure the Movie Go! Go!! Gorgeous Triple Feature,"$4,214,364",-,-,"$4,214,364",100%
473,A Perfect Man,"$4,208,906",-,-,"$4,208,906",100%
474,Tanu Weds Manu Returns,"$4,180,081","$3,043,479",72.8%,"$1,136,602",27.2%
475,The Legendary Giulia and Other Miracles,"$4,156,499",-,-,"$4,156,499",100%
476,Polis Evo,"$4,138,582",-,-,"$4,138,582",100%
477,No Kids,"$4,114,621",-,-,"$4,114,621",100%
478,The Sense of Wonder,"$4,108,042",-,-,"$4,108,042",100%
479,Journalist,"$4,083,046",-,-,"$4,083,046",100%
480,Katti Batti,"$4,079,135","$364,932",8.9%,"$3,714,203",91.1%
481,Stuck with You!,"$4,047,743",-,-,"$4,047,743",100%
482,Matrimonio al Sud,"$4,041,949",-,-,"$4,041,949",100%
483,A Perfect Day,"$4,009,440","$14,044",0.4%,"$3,995,396",99.6%
484,Kamen Rider Super Movie War Genesis: Kamen Rider vs. Kamen Rider Ghost & Drive,"$3,994,806",-,-,"$3,994,806",100%
485,All Three of Us,"$3,985,169",-,-,"$3,985,169",100%
486,Kung Fu Hustle 2015 Re-release,"$3,970,000",-,-,"$3,970,000",100%
487,Soreike! Anpanman Mija To Maho No Lamp,"$3,963,396",-,-,"$3,963,396",100%
488,You Call It Passion,"$3,939,736",-,-,"$3,939,736",100%
489,Chiamatemi Francesco - Il Papa della gente,"$3,911,568",-,-,"$3,911,568",100%
490,Reintsurî no kuni,"$3,907,507",-,-,"$3,907,507",100%
491,Taxi,"$3,906,227","$321,642",8.2%,"$3,584,585",91.8%
492,Solomon's Perjury 2,"$3,885,772",-,-,"$3,885,772",100%
493,Blind Date,"$3,877,000",-,-,"$3,877,000",100%
494,Niyazi Gül Dörtnala,"$3,858,492",-,-,"$3,858,492",100%
495,Where's the Dragon?,"$3,847,928",-,-,"$3,847,928",100%
496,Love at First Child,"$3,840,883",-,-,"$3,840,883",100%
497,The Magician,"$3,829,088",-,-,"$3,829,088",100%
498,The Laws of the Universe Part 0,"$3,821,361",-,-,"$3,821,361",100%
499,Sweet 20,"$3,810,429","$71,775",1.9%,"$3,738,654",98.1%
500,The Unbearable Lightness of Inspector Fan,"$3,740,092",-,-,"$3,740,092",100%
501,Love Me Love My Dog,"$3,740,000",-,-,"$3,740,000",100%
502,Summertime,"$3,719,031","$35,322",0.9%,"$3,683,709",99.1%
503,Spare Parts,"$3,701,281","$3,618,912",97.8%,"$82,369",2.2%
504,5 Flights Up,"$3,679,847","$1,020,921",27.7%,"$2,658,926",72.3%
505,A la mala,"$3,646,627","$3,629,842",99.5%,"$16,785",0.5%
506,You Can't Save Yourself Alone,"$3,645,305",-,-,"$3,645,305",100%
507,Survivor,"$3,638,976",-,-,"$3,638,976",100%
508,The Love Affair,"$3,624,953",-,-,"$3,624,953",100%
509,Cute & Dangerous,"$3,597,444",-,-,"$3,597,444",100%
510,Peppa Pig: The Golden Boots,"$3,593,395",-,-,"$3,593,395",100%
511,King Naresuan 6,"$3,579,768",-,-,"$3,579,768",100%
512,Granny's Got Talent,"$3,535,083",-,-,"$3,535,083",100%
513,Ladrones,"$3,504,414","$3,063,505",87.4%,"$440,909",12.6%
514,Kara Bela,"$3,479,667",-,-,"$3,479,667",100%
515,Thomas & Friends: Sodor's Legend of the Lost Treasure,"$3,472,917",-,-,"$3,472,917",100%
516,Retribution,"$3,456,773",-,-,"$3,456,773",100%
517,Brothers of the Wind,"$3,444,978",-,-,"$3,444,978",100%
518,Min søsters børn og guldgraverne 2015 Re-release,"$3,437,372",-,-,"$3,437,372",100%
519,He Named Me Malala,"$3,433,606","$2,668,936",77.7%,"$764,670",22.3%
520,Ek Paheli Leela,"$3,431,880",-,-,"$3,431,880",100%
521,Time to Love,"$3,430,000",-,-,"$3,430,000",100%
522,Families,"$3,424,810",-,-,"$3,424,810",100%
523,O Pátio das Cantigas,"$3,415,695",-,-,"$3,415,695",100%
524,Keeper of Darkness,"$3,411,154",-,-,"$3,411,154",100%
525,Jazbaa,"$3,400,203",-,-,"$3,400,203",100%
526,Rock the Kasbah,"$3,394,174","$3,020,664",89%,"$373,510",11%
527,Bruder vor Luder,"$3,378,311",-,-,"$3,378,311",100%
528,12 Golden Ducks,"$3,375,891",-,-,"$3,375,891",100%
529,One Left,"$3,350,205",-,-,"$3,350,205",100%
530,Heaven on Earth 2015 Re-release,"$3,350,041",-,-,"$3,350,041",100%
531,Mistress America,"$3,340,737","$2,500,431",74.8%,"$840,306",25.2%
532,Tracers,"$3,340,503",-,-,"$3,340,503",100%
533,The Program,"$3,335,613","$13,074",0.4%,"$3,322,539",99.6%
534,By the Sea,"$3,334,927","$538,460",16.1%,"$2,796,467",83.9%
535,"Ja, ik wil!","$3,331,487",-,-,"$3,331,487",100%
536,Life Eternal,"$3,308,744",-,-,"$3,308,744",100%
537,Lotus Code,"$3,300,000",-,-,"$3,300,000",100%
538,Heist,"$3,294,317","$50,136",1.5%,"$3,244,181",98.5%
539,Yellow Flowers on the Green Grass,"$3,293,667",-,-,"$3,293,667",100%
540,Mannenharten 2,"$3,262,993",-,-,"$3,262,993",100%
541,The Breakup Playlist,"$3,255,057",-,-,"$3,255,057",100%
542,Drop Dead Gorgeous,"$3,251,968",-,-,"$3,251,968",100%
543,"Robin des Bois, la véritable histoire","$3,251,375",-,-,"$3,251,375",100%
544,In Harmony,"$3,242,445","$3,144",<0.1%,"$3,239,301",99.9%
545,Enemies of the Law,"$3,229,152",-,-,"$3,229,152",100%
546,Sleeping with Other People,"$3,224,947","$819,431",25.4%,"$2,405,516",74.6%
547,Yowamushi Pedal: The Movie,"$3,224,657",-,-,"$3,224,657",100%
548,Embrace of the Serpent,"$3,217,176","$1,329,249",41.3%,"$1,887,927",58.7%
549,Qualquer Gato Vira-Lata 2,"$3,204,018",-,-,"$3,204,018",100%
550,I,"$3,200,113","$1,449,232",45.3%,"$1,750,881",54.7%
551,Nadide Hayat,"$3,198,186",-,-,"$3,198,186",100%
552,Victoria,"$3,192,275",-,-,"$3,192,275",100%
553,Empire of Lust,"$3,191,168","$10,654",0.3%,"$3,180,514",99.7%
554,Voin,"$3,187,750",-,-,"$3,187,750",100%
555,Kidnapping Mr. Heineken,"$3,184,017",-,-,"$3,184,017",100%
556,Land of Mine,"$3,169,553","$435,266",13.7%,"$2,734,287",86.3%
557,Summer of '92,"$3,166,999",-,-,"$3,166,999",100%
558,An Italian Name,"$3,152,087",-,-,"$3,152,087",100%
559,Boychoir,"$3,146,094",-,-,"$3,146,094",100%
560,Bez granits,"$3,124,744",-,-,"$3,124,744",100%
561,The Bad Education Movie,"$3,121,196",-,-,"$3,121,196",100%
562,Keeper of the Moon,"$3,119,059",-,-,"$3,119,059",100%
563,The People Vs. Fritz Bauer,"$3,083,973","$288,483",9.4%,"$2,795,490",90.6%
564,Kick 2,"$3,073,989",-,-,"$3,073,989",100%
565,The End of the Tour,"$3,072,991","$3,002,884",97.7%,"$70,107",2.3%
566,The Beloved,"$3,070,000",-,-,"$3,070,000",100%
567,Jane Got a Gun,"$3,067,531","$1,513,793",49.3%,"$1,553,738",50.7%
568,Ever Been to the Moon?,"$3,065,820",-,-,"$3,065,820",100%
569,The Squad,"$3,056,677",-,-,"$3,056,677",100%
570,Remember,"$3,054,936","$547,009",17.9%,"$2,507,927",82.1%
571,"Bloed, Zweet & Tranen","$3,022,653",-,-,"$3,022,653",100%
572,The Pasta Detectives 2,"$3,022,227",-,-,"$3,022,227",100%
573,Potato Salad,"$3,020,134",-,-,"$3,020,134",100%
574,Spy Time,"$3,020,097",-,-,"$3,020,097",100%
575,Women VS Men,"$3,010,475",-,-,"$3,010,475",100%
576,The Second Mother,"$3,003,560","$376,986",12.6%,"$2,626,574",87.4%
577,10000 Years Later,"$3,000,000",-,-,"$3,000,000",100%
578,Valley of Knights,"$2,997,287",-,-,"$2,997,287",100%
579,Ricky Rapper and the Miser from Seville,"$2,953,142",-,-,"$2,953,142",100%
580,Man Up,"$2,950,880",-,-,"$2,950,880",100%
581,The Last: Naruto the Movie,"$2,949,185","$524,451",17.8%,"$2,424,734",82.2%
582,Our Women,"$2,936,982",-,-,"$2,936,982",100%
583,American Heist,"$2,931,475",-,-,"$2,931,475",100%
584,Florida,"$2,923,145",-,-,"$2,923,145",100%
585,Pay the Ghost,"$2,914,020",-,-,"$2,914,020",100%
586,49 Days,"$2,904,527",-,-,"$2,904,527",100%
587,Brave Rabbit 2: Crazy Circus,"$2,900,000",-,-,"$2,900,000",100%
588,Genis Aile: Yapistir,"$2,896,169",-,-,"$2,896,169",100%
589,"Beijing, New York","$2,890,000",-,-,"$2,890,000",100%
590,Air Bound,"$2,889,160",-,-,"$2,889,160",100%
591,Raven the Little Rascal - The Big Race,"$2,886,494",-,-,"$2,886,494",100%
592,Solomon's Perjury,"$2,872,612",-,-,"$2,872,612",100%
593,Abschussfahrt,"$2,864,566",-,-,"$2,864,566",100%
594,Uno al año no hace daño 2,"$2,855,842",-,-,"$2,855,842",100%
595,Strobe Edge,"$2,840,684",-,-,"$2,840,684",100%
596,Far til fire's vilde ferie,"$2,839,799",-,-,"$2,839,799",100%
597,Far Til Fire Ved Vadehavet,"$2,809,868",-,-,"$2,809,868",100%
598,The Shameless,"$2,804,063",-,-,"$2,804,063",100%
599,Captive,"$2,801,508","$2,583,301",92.2%,"$218,207",7.8%
600,André Rieu's 2015 Maastricht Concert,"$2,789,480",-,-,"$2,789,480",100%
601,Chi-Raq,"$2,719,699","$2,653,032",97.5%,"$66,667",2.5%
602,Un village presque parfait,"$2,715,460",-,-,"$2,715,460",100%
603,Pororo3: Cyber Space Adventure,"$2,697,830",-,-,"$2,697,830",100%
604,My Big Night,"$2,678,216",-,-,"$2,678,216",100%
605,The Last Will Be the Last,"$2,669,776",-,-,"$2,669,776",100%
606,I Kissed a Girl,"$2,659,946",-,-,"$2,659,946",100%
607,People Get Eaten,"$2,651,302",-,-,"$2,651,302",100%
608,The New Kid,"$2,638,984",-,-,"$2,638,984",100%
609,LasseMajas detektivbyrå - Stella Nostra,"$2,610,090",-,-,"$2,610,090",100%
610,Chasing Fifty,"$2,584,586",-,-,"$2,584,586",100%
611,SK1,"$2,563,070",-,-,"$2,563,070",100%
612,Minority Opinion,"$2,560,105",-,-,"$2,560,105",100%
613,Gatao,"$2,546,192",-,-,"$2,546,192",100%
614,Chateau De La Reine,"$2,527,939",-,-,"$2,527,939",100%
615,"Lusers, los amigos no se eligen","$2,527,852",-,-,"$2,527,852",100%
616,The Escape,"$2,527,317",-,-,"$2,527,317",100%
617,Shoot Me in the Heart,"$2,510,949",-,-,"$2,510,949",100%
618,Latin Lover,"$2,494,636",-,-,"$2,494,636",100%
619,Doktor Proktors tidsbadekar,"$2,491,993",-,-,"$2,491,993",100%
620,The Sweet Escape,"$2,472,665",-,-,"$2,472,665",100%
621,Half Brothers,"$2,461,980",-,-,"$2,461,980",100%
622,The Midwife,"$2,460,914",-,-,"$2,460,914",100%
623,The Queens,"$2,460,000",-,-,"$2,460,000",100%
624,The Silenced,"$2,457,364",-,-,"$2,457,364",100%
625,Piku,"$2,452,343","$1,801,807",73.5%,"$650,536",26.5%
626,Some Kind of Beautiful,"$2,446,097",-,-,"$2,446,097",100%
627,Lat Mat 2: Phim Truong,"$2,421,796",-,-,"$2,421,796",100%
628,Freelance,"$2,421,562",-,-,"$2,421,562",100%
629,The Oscar Nominated Short Films 2015: Live Action,"$2,412,593","$2,412,593",100%,-,-
630,Cake,"$2,360,281","$1,951,776",82.7%,"$408,505",17.3%
631,Sara,"$2,354,440",-,-,"$2,354,440",100%
632,Extinction,"$2,350,695",-,-,"$2,350,695",100%
633,Çarsi Pazar,"$2,346,973",-,-,"$2,346,973",100%
634,Memories of the Sword,"$2,345,062","$111,071",4.7%,"$2,233,991",95.3%
635,The Pearls of the Stone Man,"$2,337,561",-,-,"$2,337,561",100%
636,Meru,"$2,334,228","$2,334,228",100%,-,-
637,Jem and the Holograms,"$2,333,684","$2,184,640",93.6%,"$149,044",6.4%
638,Queen of Spades: The Dark Rite,"$2,332,251",-,-,"$2,332,251",100%
639,The Shamer's Daughter,"$2,325,150",-,-,"$2,325,150",100%
640,Alibaba and the Thief,"$2,320,000",-,-,"$2,320,000",100%
641,"Paws, Bones & Rock'n'roll","$2,310,879",-,-,"$2,310,879",100%
642,WARx2,"$2,310,625","$2,310,625",100%,-,-
643,Jill and Joy's Winter,"$2,277,838",-,-,"$2,277,838",100%
644,"Tsatsiki, Dad and the Olive War","$2,269,772",-,-,"$2,269,772",100%
645,Minority Option,"$2,255,765",-,-,"$2,255,765",100%
646,My All-American,"$2,246,000","$2,246,000",100%,-,-
647,Two Buddies and a Badger,"$2,245,670",-,-,"$2,245,670",100%
648,Barbie in Rock 'N Royals,"$2,243,176",-,-,"$2,243,176",100%
649,Son Mektup,"$2,241,575",-,-,"$2,241,575",100%
650,Vedalam,"$2,222,913",-,-,"$2,222,913",100%
651,May Who?,"$2,216,783",-,-,"$2,216,783",100%
652,Roger Waters: The Wall,"$2,214,417",-,-,"$2,214,417",100%
653,Everyday I Love You,"$2,212,624",-,-,"$2,212,624",100%
654,Just the Way You Are,"$2,211,899",-,-,"$2,211,899",100%
655,Wolf is Coming,"$2,211,702",-,-,"$2,211,702",100%
656,Enchanted Mirror Romance,"$2,210,000",-,-,"$2,210,000",100%
657,Love Guide for Dumpees,"$2,199,663",-,-,"$2,199,663",100%
658,Goodnight Mommy,"$2,193,474","$1,178,196",53.7%,"$1,015,278",46.3%
659,Boomerang,"$2,187,885",-,-,"$2,187,885",100%
660,Boca Juniors 3D: The Movie,"$2,171,383",-,-,"$2,171,383",100%
661,Murmur of the Hearts,"$2,166,063",-,-,"$2,166,063",100%
662,The Benefactor,"$2,159,380",-,-,"$2,159,380",100%
663,Dabbe 6: The Return,"$2,146,683",-,-,"$2,146,683",100%
664,April 9th,"$2,102,722",-,-,"$2,102,722",100%
665,Paris Holiday,"$2,100,109",-,-,"$2,100,109",100%
666,Gulu Mermaid,"$2,098,041",-,-,"$2,098,041",100%
667,Ghosthunters: On Icy Trails,"$2,097,768",-,-,"$2,097,768",100%
668,Superfast!,"$2,075,731",-,-,"$2,075,731",100%
669,Tutte lo vogliono,"$2,073,049",-,-,"$2,073,049",100%
670,A Fool,"$2,067,820","$8,212",0.4%,"$2,059,608",99.6%
671,Iqbal Faroog,"$2,051,184",-,-,"$2,051,184",100%
672,The Voices,"$2,047,501",-,-,"$2,047,501",100%
673,"Gia Gan, My Nhan va Gang To","$2,043,050",-,-,"$2,043,050",100%
674,12 Citizens,"$2,040,000",-,-,"$2,040,000",100%
675,Mandira Filozofu Istanbul,"$2,036,837",-,-,"$2,036,837",100%
676,"She Remembers, He Forgets","$2,023,892",-,-,"$2,023,892",100%
677,Mega Mindy Versus ROX,"$2,008,229",-,-,"$2,008,229",100%
678,Etiquette for Mistresses,"$1,983,655",-,-,"$1,983,655",100%
679,3 Little Pigs and the Magic Lamp,"$1,980,000",-,-,"$1,980,000",100%
680,Diary of a Chambermaid,"$1,971,247","$54,235",2.8%,"$1,917,012",97.2%
681,Ali Kundilli,"$1,926,557",-,-,"$1,926,557",100%
682,Old Fashioned,"$1,914,090","$1,914,090",100%,-,-
683,Ingrid 2015 Re-release,"$1,913,279",-,-,"$1,913,279",100%
684,Dummie the Mummy and the Sphinx of Shakaba,"$1,897,147",-,-,"$1,897,147",100%
685,Game of Thrones Season 4 Finale,"$1,896,092","$1,896,092",100%,-,-
686,The Sound of a Flower,"$1,889,637",-,-,"$1,889,637",100%
687,A Tale of Three Cities,"$1,871,119",-,-,"$1,871,119",100%
688,The Hallow,"$1,862,407","$13,906",0.7%,"$1,848,501",99.3%
689,Ex with Benefits,"$1,851,952",-,-,"$1,851,952",100%
690,All Is Well,"$1,843,389",-,-,"$1,843,389",100%
691,Mr. Deng Goes to Washington,"$1,840,000",-,-,"$1,840,000",100%
692,Karbala,"$1,839,975",-,-,"$1,839,975",100%
693,99 Homes,"$1,828,232","$1,411,927",77.2%,"$416,305",22.8%
694,Rams,"$1,826,583","$149,250",8.2%,"$1,677,333",91.8%
695,Infinitely Polar Bear,"$1,824,678","$1,430,655",78.4%,"$394,023",21.6%
696,The Tag-Along,"$1,814,080",-,-,"$1,814,080",100%
697,Homies,"$1,810,644",-,-,"$1,810,644",100%
698,Last Knights,"$1,797,955",-,-,"$1,797,955",100%
699,Guardians of Oz,"$1,795,996",-,-,"$1,795,996",100%
700,Albert,"$1,794,574",-,-,"$1,794,574",100%
701,Içimdeki Ses,"$1,792,433",-,-,"$1,792,433",100%
702,A Noble Intention,"$1,790,201",-,-,"$1,790,201",100%
703,"Bergoglio, the Pope Francis","$1,784,438",-,-,"$1,784,438",100%
704,Opposites Attract,"$1,783,792",-,-,"$1,783,792",100%
705,Gekijô rei,"$1,778,877",-,-,"$1,778,877",100%
706,The Diary of a Teenage Girl,"$1,775,133","$1,477,002",83.2%,"$298,131",16.8%
707,Open Season: Scared Silly,"$1,774,429",-,-,"$1,774,429",100%
708,"Me, Myself & Her","$1,774,250",-,-,"$1,774,250",100%
709,Dior and I,"$1,769,832","$1,028,953",58.1%,"$740,879",41.9%
710,8 Seconds,"$1,759,935",-,-,"$1,759,935",100%
711,Rush 2015 Re-release,"$1,758,414",-,-,"$1,758,414",100%
712,Khamoshiyan,"$1,758,212",-,-,"$1,758,212",100%
713,Socialphobia,"$1,750,719",-,-,"$1,750,719",100%
714,Digimon Adventure tri. Part 1: Reunion,"$1,738,035",-,-,"$1,738,035",100%
715,De Club van Sinterklaas & De Verdwenen Schoentjes,"$1,732,892",-,-,"$1,732,892",100%
716,3 Türken & ein Baby,"$1,723,883",-,-,"$1,723,883",100%
717,Pension complète,"$1,717,480",-,-,"$1,717,480",100%
718,Them Who?,"$1,712,863",-,-,"$1,712,863",100%
719,Amongst Bees,"$1,712,607",-,-,"$1,712,607",100%
720,Meet the Patels,"$1,700,681","$1,700,681",100%,-,-
721,Black,"$1,692,776",-,-,"$1,692,776",100%
722,Janis: Little Girl Blue,"$1,683,166","$410,465",24.4%,"$1,272,701",75.6%
723,The Bride,"$1,682,689",-,-,"$1,682,689",100%
724,Ma Dai,"$1,679,081",-,-,"$1,679,081",100%
725,My Original Dream,"$1,671,957",-,-,"$1,671,957",100%
726,The Letters,"$1,647,416","$1,647,416",100%,-,-
727,The Strange House,"$1,630,000",-,-,"$1,630,000",100%
